Order number,Facility code,Product code,Product name,Approved quantity,Period,Order date
OSIGL-INTEGRE-COVID19075883R,FCOV12,COVIDEPI13,COIFFES UNIQUES   ,100,07/20,27/07/20
OSIGL-INTEGRE-COVID19075883R,FCOV12,COVIDEPI03,COMBINAISON TYPE TYVEC   ,24,07/20,27/07/20
OSIGL-INTEGRE-COVID19075883R,FCOV12,COVIDEPI01,GANTS D'EXAMEN   ,200,07/20,27/07/20
OSIGL-INTEGRE-COVID19075883R,FCOV12,COVIDEPI02,GANTS STERILES   ,34,07/20,27/07/20
OSIGL-INTEGRE-COVID19075883R,FCOV12,COVIDEPI06,MASQUE DE PROTECTION N95   ,13,07/20,27/07/20
OSIGL-INTEGRE-COVID19075883R,FCOV12,COVIDEPI10,SURBLOUSES   ,20,07/20,27/07/20
OSIGL-INTEGRE-COVID19075883R,FCOV12,COVIDKIT11,SAVON    ,100,07/20,27/07/20
OSIGL-INTEGRE-COVID19075883R,FCOV12,COVIDEQP33,KIT COVID 19 BIOFIRE   ,36,07/20,27/07/20
OSIGL-INTEGRE-COVID19075883R,FCOV12,COVIDEQP56,PULVERISATEURS 16 LITRE   ,1,07/20,27/07/20
OSIGL-INTEGRE-COVID19075883R,FCOV12,COVIDEQP46,SACS POUBELLES   ,1,07/20,27/07/20
